Python,C
103338,39955
106893,38552
103532,38858
110395,38861
103926,41215
110718,41484
105115,39304
103253,41741
109236,39429
107279,38572
103695,38335
103107,41020
106174,41578
103863,38659
103254,41245
104353,38461
114030,38439
110624,38430
102850,38580
104875,38231
102284,38258
101518,40755
106132,38904
105306,41979
106709,38257
110036,37773
102523,38507
101846,37953
104314,38384
102581,40278
110092,38835
101354,38307
102118,39131
105919,39585
101605,38573
101878,38008
106323,38988
103514,39694
104746,38310
101372,38307
105293,38299
108139,38750
103728,39176
106087,38064
104275,38034
103777,39795
102755,38607
104110,38622
102747,38510
103024,38158
104347,38240
102129,38233
103228,40719
105353,38505
101076,39363
100714,38165
103657,38435
106630,39138
105634,38304
105302,41976
104260,38190
106620,38838
106868,38457
107457,45571
101866,38206
101768,38232
108067,38399
106402,41704
104214,38156
102415,40109
103485,38293
104106,38669
111587,38193
101832,38605
104417,38265
101383,38136
103744,38299
101019,38937
102214,37675
101515,41196
104981,38207
102694,39530
105192,39274
101294,38341
101475,38155
100926,40840
108934,37994
105732,39266
104858,38076
101984,38636
108589,38376
109726,40174
101132,41850
105918,37979
100549,38377
100828,38364
103807,38194
105113,38392
109055,45257
103609,38679
